Model,Accuracy,Precision,Recall,F1
LogisticRegression,0.95,1.0,0.9166666666666666,0.9565217391304348
RandomForest,0.93,1.0,0.8833333333333333,0.9380530973451328
SVM,0.93,0.9649122807017544,0.9166666666666666,0.9401709401709402
HRIDYA-QML,0.73,0.6987951807228916,0.9666666666666668,0.8111888111888111
